yaguaret	Yaguareté	0	40	0
yaquaru	Yaquaru	0	40	0
yatu	Al-luġatu-l-ʿarabīyatu	0	25	0
year	The year of the Independence of the United States of America	0	23	0
years	The Beatles' post-touring studio years	0	40	657
years	The Beatles' studio years	0	40	140
years	The Beatles' studio years after concert years	0	40	750
years	The Beatles: The studio years	0	40	1084
years	The Beatles: the studio years	0	40	956
yodel	Cattle Call/Yodel	0	20	1
yootube	YooTube	0	17	1
yootube	Yootube	0	17	1
york	Critical reception of The New York Times	0	40	193
york	History of The New York Times	0	40	655
york	Lilibet of York	0	24	0
york	New York Daily Times	0	32	0
york	New York Times	0	32	0
york	New York Times (newspaper)	0	32	0
york	New York Times Cooking	0	32	0
york	New York Times Editorial Board	0	40	691
york	New York Times Sports Blog	0	32	0
york	New York Times editorial board	0	40	912
york	New York Times'	0	32	0
york	New York times	0	32	0
york	New york Times	0	32	0
york	New york times	0	32	0
york	New-York Daily Times	0	32	0
york	New-York Times	0	32	0
york	Princess Elizabeth Alexandra Mary of York	0	24	0
york	Princess Elizabeth of York	0	24	0
york	Princess Lilibet of York	0	24	0
york	Sunday New York Times	0	32	0
york	THE NEW YORK TIMES	0	32	0
york	The New York Daily Times	0	32	0
york	The New York Times	0	32	0
york	The New York Times Cooking	0	32	0
york	The New York Times Newsroom Navigator	0	40	455
york	The New York Times and the Holocaust	0	40	1254
york	The New York Times editorial board	0	40	212
york	The New York Times in Chinese	0	40	1164
york	The New York Times on the Web	0	32	0
york	The New York Times'	0	32	0
york	The New York Times.	0	32	0
york	The New york Times	0	32	0
york	The New-York Times	0	32	0
york	The new york times	0	32	0
york	Times of New York	0	32	0
york	Twin Towers (New York City)	0	31	1
york	Twin Towers, New York City	0	31	1
york	Twin towers in new york city	0	31	1
you	YOU TUBE	0	17	1
you	You Tube	0	17	1
you	You carry oats	0	19	1
you	You tube	0	17	1
you	You tube (website)	0	17	1
you	You-Tube	0	17	1
you	You-tube	0	17	1
you carry oats	You carry oats	0	19	1
you tube	YOU TUBE	0	17	1
you tube	You Tube	0	17	1
you tube	You tube	0	17	1
you tube	You-Tube	0	17	1
you tube	You-tube	0	17	1
you tube website	You tube (website)	0	17	1
young	Chick (young bird)	0	40	1214
young	Chicks (young bird)	0	40	145
your	(Keep Your) Hands Off (Of It)	0	20	1
your	Time of Your Life (Mariah Carey song)	0	22	0
your	Time of Your Life (Mariah Carey)	0	22	0
your	Time of Your Life (ring tone)	0	22	0
your	Time of Your Life Mariah	0	22	0
your	Your Digital Video Repository	0	40	641
your digital video repository	Your Digital Video Repository	0	40	641
yourself	Broadcast Yourself	0	17	1
yourself	Broadcast yourself	0	40	316
yourself	Broadcast yourself!	0	17	1
yourself	Broadcast yourself.	0	40	580
yourself	YouTube - Broadcast Yourself	0	17	1
yourself	YouTube Broadcast Yourself	0	17	1
yourself	YouTube: Broadcast Yourself	0	17	1
yourtube	YourTube	0	17	1
youtibe	Youtibe	0	17	1
youtoob	Youtoob	0	17	1
youtu	Youtu.be	0	17	1
youtu be	Youtu.be	0	17	1
youtube	@YouTube	0	17	1
youtube	COVID-19 misinformation on YouTube	0	40	116
youtube	Conspiracy theories on YouTube	0	40	571
youtube	Controversial YouTube channels	0	40	578
youtube	Disinformation on YouTube	0	40	530
youtube	Extremist YouTube channels	0	40	631
youtube	Extremist YouTube videos	0	40	292
youtube	Extremist content on YouTube	0	40	614
youtube	Far-right YouTube channels	0	40	1216
youtube	Google YouTube	0	40	907
youtube	Hate speech on YouTube	0	40	751
youtube	M.youtube.com	0	17	1
youtube	Misinformation on YouTube	0	40	460
youtube	Promotion of conspiracy theories on YouTube	0	40	547
youtube	Promotion of extremism on YouTube	0	40	1040
youtube	Return YouTube Dislike	0	40	892
youtube	Return YouTube dislike	0	40	91
youtube	Return Youtube dislike	0	40	469
youtube	Return youtube dislike	0	40	207
youtube	Spread of conspiracy theories on YouTube	0	40	943
youtube	Www.youtube.com	0	17	1
youtube	YOUTUBE	0	17	1
youtube	YouTube	0	17	1
youtube	YouTube (Google)	0	17	1
youtube	YouTube (platform)	0	17	1
youtube	YouTube (video sharing company)	0	40	360
youtube	YouTube - Broadcast Yourself	0	17	1
youtube	YouTube 100	0	17	1
youtube	YouTube Android	0	40	774
youtube	YouTube App	0	40	1089
youtube	YouTube Broadcast Yourself	0	17	1
youtube	YouTube Director	0	17	1
youtube	YouTube Fame	0	17	1
youtube	YouTube LLC	0	17	1
youtube	YouTube Limited Liability Company	0	17	1
youtube	YouTube Marketing	0	17	1
youtube	YouTube Movies	0	40	250
youtube	YouTube Partner Program	0	40	282
youtube	YouTube Partnership Program	0	40	89
youtube	YouTube Playables	0	40	340
youtube	YouTube Stories	0	40	1203
youtube	YouTube Video	0	17	1
youtube	YouTube app	0	17	1
youtube	YouTube channel	0	40	434
youtube	YouTube channel (identifier)	0	17	1
youtube	YouTube channels	0	17	1
youtube	YouTube comment	0	40	894
youtube	YouTube comments	0	40	987
youtube	YouTube custom (identifier)	0	17	1
youtube	YouTube dislike hiding	0	40	380
youtube	YouTube dislike removal	0	40	72
youtube	YouTube fame	0	17	1
youtube	YouTube for Android	0	40	169
youtube	YouTube handle (identifier)	0	17	1
youtube	YouTube live streaming exploitation scare	0	40	832
youtube	YouTube livestreaming scare	0	40	1099
youtube	YouTube llc	0	17	1
youtube	YouTube partner	0	40	1193
youtube	YouTube playlist (identifier)	0	17	1
youtube	YouTube show (identifier)	0	17	1
youtube	YouTube space	0	17	1
youtube	YouTube user (identifier)	0	17	1
youtube	YouTube user comments	0	40	450
youtube	YouTube video	0	40	1042
youtube	YouTube video (identifier)	0	17	1
youtube	YouTube videos	0	40	681
youtube	YouTube's revenues	0	40	837
youtube	YouTube's running costs	0	40	842
youtube	YouTube, Inc.	0	17	1
youtube	YouTube, LLC	0	17	1
youtube	YouTube.co.uk	0	17	1
youtube	YouTube.com	0	17	1
youtube	YouTube: Broadcast Yourself	0	17	1
youtube	YouTube:video	0	17	1
youtube	Youtube	0	17	1
